"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Abi2",0.0908627263111553,0.338679955555287,0.067,0.151,1
"Slc35b1",0.0910748220190128,0.345333476504824,0.15,0.283,1
"Pigk",0.0911140825926147,0.171131157890368,0.093,0.189,1
"Nr4a1",0.0912027327454281,0.568053972868077,0.124,0.245,1
"Tppp3",0.0912256490431454,3.25268447217638,0.135,0.057,1
"Ror1",0.0913588598691764,-0.304311720803113,0.016,0.057,1
"Ppp1r9a",0.0913588598691764,-0.73869692351292,0.016,0.057,1
"Rpusd4",0.0913588598691764,-1.47068539543819,0.016,0.057,1
"Gdf11",0.0913588598691764,-1.22458938532839,0.016,0.057,1
"Cdc27",0.0913588598691764,-1.52240532984494,0.016,0.057,1
"Mettl2",0.0913588598691764,-1.39197161963612,0.016,0.057,1
"Ftsj3",0.0913588598691764,-0.207464823070934,0.016,0.057,1
"Clec14a",0.0913588598691764,-1.14565831677174,0.016,0.057,1
"Etv5",0.0913588598691764,-0.350300566020072,0.016,0.057,1
"Bysl",0.0913588598691764,-1.71342464006246,0.016,0.057,1
"Rbmx2",0.0913588598691764,-0.63224912257152,0.016,0.057,1
"E2f5",0.0915279888301413,-0.654267441506808,0.036,0.094,1
"Zfp655",0.0915279888301413,-0.171636157696072,0.036,0.094,1
"Tcirg1",0.0915279888301413,-0.723251062393861,0.036,0.094,1
"Agl",0.0916409673482617,-0.138812754969695,0.047,0.113,1
"Fam207a",0.0916409673482617,-0.240182134675465,0.047,0.113,1
"Cstb",0.091658065094317,0.139407790701524,0.358,0.623,1
"Cdc123",0.0917008825079322,0.332187506585208,0.15,0.283,1
"Psph",0.0917250750702945,0.353515549253542,0.067,0.151,1
"Ly96",0.0920313768887845,4.3288148622943,0.052,0,1
"Adamts4",0.0920313768887845,4.12379404056694,0.052,0,1
"Grip2",0.0920313768887845,3.72225767047113,0.052,0,1
"Ltc4s",0.0920313768887845,4.0052051764605,0.052,0,1
"BC003331",0.0920313768887845,4.13919934205368,0.052,0,1
"Fbxo18",0.0920313768887845,3.72183070199814,0.052,0,1
"Tmem57",0.0920313768887845,4.09985891638121,0.052,0,1
