"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dubr2",2.49510828030133e-71,0.33504750121784,0.032,0.013,5.44856795169401e-67,"C_6m","Dubr"
"2210409D07Rik",3.33858415849828e-71,0.521598641740218,0.011,0.002,7.29046622691269e-67,"C_6m","2210409D07Rik"
"Il15ra1",3.40703109960469e-71,0.571407780020142,0.025,0.009,7.43993381220676e-67,"C_6m","Il15ra"
"Gramd1c",3.99520628312021e-71,0.72274778817271,0.011,0.002,8.72433196044961e-67,"C_6m","Gramd1c"
"A330049N07Rik",4.10246533893208e-71,0.458629505185804,0.012,0.003,8.95855356062598e-67,"C_6m","A330049N07Rik"
"2010315B03Rik",4.63610266931924e-71,0.208716929135778,0.036,0.016,1.01238573989924e-66,"C_6m","2010315B03Rik"
"B230307C23Rik1",5.96861975660683e-71,0.260141145181553,0.029,0.012,1.30336749625023e-66,"C_6m","B230307C23Rik"
"Ajm11",8.04293088753013e-71,2.2897341851872,0.011,0.002,1.75633481790995e-66,"C_6m","Ajm1"
"Lyrm71",8.12952496326372e-71,0.466345340243204,0.018,0.005,1.7752443662279e-66,"C_6m","Lyrm7"
"Fam166b",9.24791510105742e-71,0.684208485628278,0.014,0.004,2.01946722061791e-66,"C_6m","Fam166b"
"Stk33",1.46326677156741e-70,0.405709686968425,0.014,0.003,3.19533564907176e-66,"C_6m","Stk33"
"Trmt2b",1.49545047122087e-70,0.156509636347552,0.034,0.014,3.26561519400502e-66,"C_6m","Trmt2b"
"Gm143051",1.86079360326637e-70,0.944702693071842,0.028,0.011,4.06341499145277e-66,"C_6m","Gm14305"
"Ice2",2.3581820431036e-70,0.366314011194509,0.029,0.011,5.14956212752534e-66,"C_6m","Ice2"
"Fbxo16",3.58342618441567e-70,0.299693336297972,0.014,0.004,7.8251277589085e-66,"C_6m","Fbxo16"
"Thnsl2",3.63839627837024e-70,0.525916033016985,0.02,0.006,7.94516595307709e-66,"C_6m","Thnsl2"
"Zfp780b",4.55283896170807e-70,0.102334577656582,0.032,0.013,9.94203444068191e-66,"C_6m","Zfp780b"
"Snx191",4.56350102166735e-70,0.21012942369808,0.036,0.016,9.96531718101499e-66,"C_6m","Snx19"
"Pcp4l1",5.92014677597973e-70,0.209729157776658,0.113,0.072,1.29278245147069e-65,"C_6m","Pcp4l1"
"Ankrd42",6.05757539267578e-70,0.255140315308404,0.014,0.003,1.32279273849861e-65,"C_6m","Ankrd42"
"Tchp1",7.15154620691419e-70,0.531373833004676,0.027,0.01,1.56168314520385e-65,"C_6m","Tchp"
"Pygl1",7.52776883434145e-70,0.126586338434691,0.019,0.006,1.64383888035514e-65,"C_6m","Pygl"
"Apobec3",1.11660087891135e-69,0.160402844496036,0.056,0.029,2.43832133927872e-65,"C_6m","Apobec3"
"Osbpl3",1.15391557484087e-69,0.342598025941325,0.014,0.004,2.51980544078002e-65,"C_6m","Osbpl3"
"Noct",1.441588518961e-69,0.148866310673133,0.026,0.01,3.14799684885515e-65,"C_6m","Noct"
"Llgl2",1.95431043750138e-69,0.209976764376086,0.011,0.002,4.26762770237177e-65,"C_6m","Llgl2"
"Syt141",3.4774343142361e-69,0.658347825203924,0.014,0.004,7.59367331199736e-65,"C_6m","Syt14"
"Ropn1l2",3.69373509675717e-69,0.28360645606061,0.021,0.007,8.06600933078864e-65,"C_6m","Ropn1l"
"Fam187b",4.05533436957648e-69,0.457805807460355,0.01,0.002,8.85563366284415e-65,"C_6m","Fam187b"
"Ccdc96",4.4267599580101e-69,0.10382250365849,0.014,0.004,9.66671572030666e-65,"C_6m","Ccdc96"
"Ccdc621",4.87433210595127e-69,0.630889801380584,0.019,0.006,1.06440790197658e-64,"C_6m","Ccdc62"
"6820408C15Rik",7.45075093345579e-69,0.182593484260635,0.014,0.003,1.62702048133874e-64,"C_6m","6820408C15Rik"
"Ankrd35",7.48518672810288e-69,0.824129541626569,0.011,0.002,1.63454022581582e-64,"C_6m","Ankrd35"
"Zfyve11",7.62712123569655e-69,0.250464204094403,0.027,0.011,1.66553446423906e-64,"C_6m","Zfyve1"
"Piezo1",1.15372040638627e-68,0.155824947898028,0.028,0.011,2.51937925142571e-64,"C_6m","Piezo1"
"4933421O10Rik",1.30047662347944e-68,0.195467665687053,0.039,0.018,2.83985080269205e-64,"C_6m","4933421O10Rik"
"Eva1c",1.50143739438149e-68,0.980486818381202,0.011,0.002,3.27868883811085e-64,"C_6m","Eva1c"
"Thada",1.62984326082946e-68,0.217211940187314,0.023,0.008,3.5590887286733e-64,"C_6m","Thada"
"Gramd41",2.37431024826837e-68,0.245767414628903,0.031,0.013,5.18478128914363e-64,"C_6m","Gramd4"
"Per11",2.39197119413869e-68,0.252000792936274,0.032,0.014,5.22334749664066e-64,"C_6m","Per1"
"Klhl111",2.51636784752175e-68,0.612552375462705,0.02,0.006,5.49499246863325e-64,"C_6m","Klhl11"
"Cideb1",3.44281887602348e-68,0.65247315492951,0.028,0.011,7.51808357957247e-64,"C_6m","Cideb"
"F8",3.48750633036442e-68,0.828935080723038,0.011,0.002,7.61566757361679e-64,"C_6m","F8"
"Il17rd1",4.16598396129778e-68,0.324157878574328,0.021,0.007,9.09725917628596e-64,"C_6m","Il17rd"
"Scnn1a",4.44255056039711e-68,0.476520297176774,0.01,0.002,9.70119765873916e-64,"C_6m","Scnn1a"
"Rsph11",5.08623455474871e-68,0.151388182917636,0.047,0.023,1.11068103972048e-63,"C_6m","Rsph1"
"Slc4a42",6.43650359930169e-68,0.243557618756744,0.264,0.197,1.40553929097951e-63,"C_6m","Slc4a4"
"Rhoj",8.60499414315482e-68,0.160614890041001,0.046,0.022,1.87907257104072e-63,"C_6m","Rhoj"
"AW495222",9.98726872912214e-68,0.614075485926286,0.01,0.002,2.1809198723784e-63,"C_6m","AW495222"
"Ttll9",1.00637669828955e-67,0.391145936893794,0.011,0.002,2.1976247960549e-63,"C_6m","Ttll9"
"Slamf61",1.0340079781326e-67,1.74188193483919,0.014,0.004,2.25796322184817e-63,"C_6m","Slamf6"
"1810024B03Rik1",1.04238418578852e-67,0.297547118272647,0.027,0.011,2.27625434650639e-63,"C_6m","1810024B03Rik"
"Col8a11",1.27053100002807e-67,0.124499354608923,0.028,0.011,2.77445854476129e-63,"C_6m","Col8a1"
"Tmtc3",1.39960095959581e-67,0.124428407410339,0.027,0.01,3.05630861546938e-63,"C_6m","Tmtc3"
"Klk8",1.47309292011744e-67,0.713807083594409,0.051,0.026,3.21679300966045e-63,"C_6m","Klk8"
"4930452G13Rik",1.91751737015408e-67,0.683606102697737,0.013,0.003,4.18728268120548e-63,"C_6m","4930452G13Rik"
"Adrb11",1.95175398870237e-67,0.262490873482382,0.033,0.014,4.26204518512936e-63,"C_6m","Adrb1"
"Ctnna31",2.45336490785965e-67,0.674343368594781,0.017,0.005,5.35741294929311e-63,"C_6m","Ctnna3"
